date,close,code,name,ret,log_ret,ma5,ma20,ma60,vol20
2020-07-28,1429.96589,sh.600519,贵州茅台,0.029244091091183533,0.02882464066639243,1411.458535062,1416.0391353785,1249.6559226001666,0.4832011502884488
2020-07-29,1431.678424,sh.600519,贵州茅台,0.0011976047904191933,0.0011968882338461726,1410.41731439,1423.6483520739998,1255.5330015551665,0.4805560133833714
2020-07-30,1438.52856,sh.600519,贵州茅台,0.004784688995215225,0.0047732787526575905,1411.1023279899998,1429.470967674,1261.6540281701668,0.4696840605122049
2020-07-31,1436.97015406,sh.600519,贵州茅台,-0.001083333333333325,-0.0010839205630375323,1425.2958097819999,1435.3102804804998,1267.2652324045,0.46962588965720936
2020-08-03,1428.253356,sh.600519,贵州茅台,-0.006066095412887718,-0.006084568915574947,1433.079276812,1438.2215882804999,1272.5618800711666,0.4541873779312143
2020-08-04,1429.95732733,sh.600519,贵州茅台,0.0011930455635491555,0.001192334450228336,1433.077564278,1437.4505198470001,1277.8501095995,0.40963717511869363
2020-08-05,1428.253356,sh.600519,贵州茅台,-0.001191623901939609,-0.0011923344502284177,1432.3925506780001,1436.879389758,1282.9914459856666,0.40942078067862236
2020-08-06,1402.53109532,sh.600519,贵州茅台,-0.018009592326138968,-0.018173738828270888,1425.193057742,1433.966369424,1287.5631552576667,0.4102466848717563
2020-08-07,1396.571477,sh.600519,贵州茅台,-0.004249188014359362,-0.004258241469407225,1417.1133223299998,1430.4192833764998,1291.9939237268334,0.4096440270420124
2020-08-10,1399.13171533,sh.600519,贵州茅台,0.0018332311465358853,0.0018315528291669718,1411.288994196,1424.0829075765,1296.5993985828334,0.37917110247889363
2020-08-11,1406.42711017,sh.600519,贵州茅台,0.005214230197247316,0.00520068317011222,1406.5829507639999,1418.967140385,1301.5181691023333,0.3795350348270924
2020-08-12,1393.10359565,sh.600519,贵州茅台,-0.009473306098593093,-0.009518463280973088,1399.552998694,1413.5906398920001,1305.746408056,0.3801214122471588
2020-08-13,1399.996545,sh.600519,贵州茅台,0.0049479086634500735,0.004935707992033868,1399.04608863,1414.489720242,1310.0909401371669,0.25477062530851446
2020-08-14,1422.259487,sh.600519,贵州茅台,0.01590214067278284,0.01577702628194107,1404.18369063,1415.0441531245,1314.7375410371667,0.24989449972438307
